Company Name,Rating,Good Reviews,Bad Reviews,Salaries
TCS,3.3,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",9.9L
Accenture,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.5L
Wipro,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.8L
Cognizant,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6L
Capgemini,3.7,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.8L
HDFC Bank,3.8,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1.5L
Infosys,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.2L
ICICI Bank,4.0,"Job Security, Promotions / Appraisal, Skill Development / Learning",,1.5L
HCLTech,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.8L
Tech Mahindra,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.8L
Genpact,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.3L
Teleperformance,3.8,Job Security,,97k
Jio,4.4,"Job Security, Skill Development / Learning, Company Culture",,62.1k
Axis Bank,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",1L
Concentrix Corporation,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.3L
Amazon,3.9,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,1.5L
iEnergizer,4.6,"Company Culture, Job Security, Skill Development / Learning",,24.3k
Reliance Retail,3.9,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,76k
LTIMindtree,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.9L
IBM,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2.1L
HDB Financial Services,3.9,"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",49.6k
Larsen & Toubro Limited,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",75.2k
Deloitte,3.7,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.5L
Kotak Mahindra Bank,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",87.3k
Reliance Industries,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,73k
Vodafone Idea,3.9,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,49.9k
Bharti Airtel,3.8,,Promotions / Appraisal,49.3k
BYJU'S,3.2,,"Job Security, Work Life Balance, Company Culture",53.9k
WNS,3.3,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",70.1k
IDFC FIRST Bank,3.9,"Salary & Benefits, Skill Development / Learning",,49.3k
Ernst & Young,3.4,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",1.4L
Tata Motors,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,42.7k
IndusInd Bank,3.4,,"Promotions / Appraisal, Company Culture, Work Satisfaction",51.6k
AU Small Finance Bank,3.9,"Skill Development / Learning, Salary & Benefits",,29.1k
Muthoot FinCorp,4.6,"Company Culture, Skill Development / Learning, Work Life Balance",,9k
Bajaj Finserv,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",,30.5k
Flipkart,3.9,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,55.2k
PwC,3.3,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",1.2L
Mahindra & Mahindra,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,40.1k
Infosys BPM,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",74k
DXC Technology,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",72.7k
HDFC Life,3.9,"Job Security, Skill Development / Learning",,33k
Bandhan Bank,3.7,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",25.2k
Digitide Solutions,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",26.8k
Mphasis,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",73.9k
Yes Bank,3.6,,"Job Security, Promotions / Appraisal, Company Culture",43.3k
Tata Steel,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,34.1k
Quess,3.8,,"Promotions / Appraisal, Job Security",31.1k
Maruti Suzuki,4.2,"Job Security, Salary & Benefits, Company Culture",,28.3k
Asian Paints,3.9,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal,25.8k
Startek,3.1,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",24.6k
UltraTech Cement,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,24.7k
Paytm,3.2,,"Job Security, Promotions / Appraisal, Company Culture",34.4k
Bajaj Finance,3.9,"Salary & Benefits, Skill Development / Learning, Job Security",,23.1k
Shriram Finance,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,15.1k
Sutherland Global Services,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",35.1k
Equitas Small Finance Bank,4.4,"Company Culture, Job Security, Work Life Balance",,13.2k
Cipla,4.1,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,26.3k
EXL Service,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",44.4k
Wells Fargo,3.6,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",56.7k
Ericsson,3.9,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",42.3k
Samsung,3.9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,26.3k
Dr. Reddy's,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,25.8k
Optum Global Solutions,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,49.3k
Delhivery,3.8,,Promotions / Appraisal,21.3k
JPMorgan Chase & Co.,3.8,Job Security,Promotions / Appraisal,87.8k
JSW Steel,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,30.6k
ICICI Prudential Life Insurance,3.9,"Job Security, Salary & Benefits, Skill Development / Learning",,23.4k
HGS,3.7,,"Promotions / Appraisal, Salary & Benefits",20.7k
Hexaware Technologies,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",53.9k
Jana Small Finance Bank,3.8,Salary & Benefits,Promotions / Appraisal,14.4k
Ujjivan Small Finance Bank,4.0,"Company Culture, Work Life Balance, Job Security",,13.2k
Sun Pharmaceutical Industries,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,23.4k
Amazon Development Centre India,3.8,"Company Culture, Work Life Balance",Promotions / Appraisal,38.7k
Lupin,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,22.6k
Ekart Logistics,3.9,Skill Development / Learning,Promotions / Appraisal,16.1k
L&T Construction,4.0,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal",19.4k
Zydus Lifesciences,3.9,"Salary & Benefits, Skill Development / Learning",,20.1k
Hindustan Unilever,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,20.2k
KPMG India,3.4,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",65.7k
ITC,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,24.6k
Axis Max Life Insurance,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",,19.9k
Megha Engineering & Infrastructures,3.9,Work Life Balance,Promotions / Appraisal,18.5k
Tata Projects,4.2,"Salary & Benefits, Company Culture, Work Life Balance",,22.5k
Coforge,3.3,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",49.6k
Bajaj Life Insurance,3.8,Salary & Benefits,,17.4k
L&T Technology Services,3.1,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",43.2k
FIS,3.8,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning",38.7k
Cholamandalam Investment & Finance,3.8,Salary & Benefits,,13.1k
Oracle,3.5,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",63.2k
Omega Healthcare,3.8,,"Promotions / Appraisal, Salary & Benefits",26.7k
IIFL Finance,4.0,"Work Life Balance, Company Culture, Job Security",,13.8k
Muthoot Finance,3.7,,Promotions / Appraisal,13.1k
JLL,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,24.5k
Indian Army,4.7,"Job Security, Company Culture, Work Life Balance",,9.5k
eClerx,3.1,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",32.4k
HCL Group,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",39.4k
Virtusa Consulting Services,3.7,,"Promotions / Appraisal, Job Security, Salary & Benefits",56.8k
DMart,3.9,"Job Security, Company Culture",Promotions / Appraisal,18.4k
Piramal Finance,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,12.4k
HSBC Group,3.9,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",43.5k
Indiamart Intermesh,3.5,,"Work Satisfaction, Promotions / Appraisal, Company Culture",21k
PolicyBazaar,3.8,Salary & Benefits,Work Life Balance,17.4k
SMFG India Credit,3.9,Salary & Benefits,Promotions / Appraisal,10.9k
Access Healthcare,3.7,Job Security,"Promotions / Appraisal, Skill Development / Learning",28.8k
