Company Name,Rating,Good Reviews,Bad Reviews,Salaries
BigBasket,3.9,Job Security,Promotions / Appraisal,19.3k
Aurobindo Pharma,4.0,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,20.6k
Siemens,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,34k
Udaan,3.9,"Salary & Benefits, Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal",15.7k
GlobalLogic,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.9k
Manappuram Finance,3.9,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",,9.3k
Firstsource Solutions,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",24.6k
Tata Capital,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,16.1k
ICICI Lombard General Insurance Company,3.5,,"Promotions / Appraisal, Work Satisfaction, Company Culture",20.2k
Shapoorji Pallonji Group,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,15.3k
Standard Chartered,3.6,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",41.9k
UST,3.7,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",39.9k
Apollo Hospitals,4.1,"Job Security, Skill Development / Learning, Company Culture",,16.7k
Mahindra Finance,3.9,,Promotions / Appraisal,12k
Bosch Global Software Technologies,3.7,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.5k
Ashok Leyland,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,19k
Swiggy,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction",23.4k
Citicorp,3.7,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",52.9k
Hero MotoCorp,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,15.9k
CGI Group,4.0,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",46.1k
Cyient,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",27.8k
SBI Cards & Payment Services,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",16.2k
BNY,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",31.2k
Kalpataru Projects International,4.2,"Job Security, Skill Development / Learning, Salary & Benefits",,13.8k
IQVIA,3.7,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",30.9k
JustDial,3.5,,"Promotions / Appraisal, Work Satisfaction, Job Security",15.3k
NTT DATA,3.8,Work Life Balance,Promotions / Appraisal,36.3k
Nagarjuna Construction Company,4.0,"Job Security, Company Culture, Work Life Balance",,12.5k
SBI Life Insurance Company,3.7,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",11.6k
Schneider Electric,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,24.9k
CBRE,4.1,"Company Culture, Work Life Balance, Job Security",,18.8k
TVS Motor,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,16k
Persistent Systems,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",45.5k
State Bank of India,3.8,"Job Security, Skill Development / Learning, Salary & Benefits",,11.8k
vivo,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,13k
Atos,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",33.9k
KEC International,4.0,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,13.4k
Ecom Express,4.0,"Work Life Balance, Company Culture, Work Satisfaction",,9.7k
Amdocs,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",37.3k
JBM Group,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,14.1k
Eviden,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",27.7k
Varun Beverages,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,12.5k
ITC Infotech,3.7,"Work Life Balance, Job Security",Promotions / Appraisal,29.7k
Nagarro,3.9,"Company Culture, Work Life Balance",Promotions / Appraisal,32.9k
Bosch,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,20.9k
Randstad,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction",16.6k
EY Global Delivery Services ( EY GDS),3.5,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",50.1k
Utkarsh Small Finance Bank,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction",11.2k
Hewlett Packard Enterprise,4.1,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,27.4k
Home Credit Finance,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",,9.4k
Cars24,3.5,,"Job Security, Promotions / Appraisal, Company Culture",15.5k
Aditya Birla Fashion and Retail,4.1,"Job Security, Skill Development / Learning, Company Culture",,13.3k
L&T Finance,3.9,"Salary & Benefits, Job Security",Promotions / Appraisal,11.9k
Mahindra Logistics,3.7,,"Promotions / Appraisal, Salary & Benefits",12.9k
Havells,3.9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,14.9k
Dell,3.8,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",28.9k
R1 RCM,3.8,Job Security,Promotions / Appraisal,21.5k
Intas Pharmaceuticals,4.1,"Job Security, Salary & Benefits, Work Life Balance",,17.2k
OPPO,3.9,Skill Development / Learning,"Promotions / Appraisal, Job Security",11.7k
Tata AIA Life Insurance,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",,14.6k
Hetero,3.9,"Job Security, Work Life Balance",Promotions / Appraisal,15.3k
Hyundai Motor India Limited,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,14.1k
Deutsche Bank,3.8,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,36.6k
Motilal Oswal Financial Services,3.7,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",13k
Berger Paints,3.7,,"Promotions / Appraisal, Company Culture, Work Life Balance",10.6k
TeamLease Services,3.9,Work Life Balance,Promotions / Appraisal,16.2k
Lenskart,3.3,,"Promotions / Appraisal, Company Culture, Work Life Balance",12.9k
VE Commercial Vehicles,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",14.2k
Thermax Limited,4.2,"Job Security, Company Culture, Skill Development / Learning",,13.2k
Bajaj Auto,3.8,,Promotions / Appraisal,14.5k
Macleods Pharmaceuticals,3.7,Job Security,"Promotions / Appraisal, Company Culture",15.6k
Jubilant Foods Works,3.7,,Promotions / Appraisal,9.2k
Aakash Educational Services,3.2,,"Promotions / Appraisal, Work Life Balance, Job Security",13.7k
Kogta Financial India Limited,4.7,"Company Culture, Work Life Balance, Work Satisfaction",,1.9k
LG Electronics,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,11.3k
Hindalco Industries,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,12.5k
Jindal Steel Limited,3.9,Skill Development / Learning,Promotions / Appraisal,15.8k
Royal Enfield,4.2,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,15k
State Street Corporation,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture",32.1k
DCB Bank,3.8,Work Life Balance,Promotions / Appraisal,9.7k
HDFC Ergo General Insurance,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,12.1k
Tata Communications,3.9,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",23.6k
John Deere,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,15.3k
RBL Bank,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction",18.4k
Cummins,4.3,"Company Culture, Work Life Balance, Work Satisfaction",,15.5k
Publicis Sapient,3.3,,"Promotions / Appraisal, Job Security, Work Satisfaction",31.1k
Bank of America,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,28.8k
Pidilite Industries,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,11.7k
Oyo Rooms,3.0,,"Job Security, Work Satisfaction, Company Culture",14.3k
Alembic Pharmaceuticals,3.9,"Salary & Benefits, Work Life Balance",,15.4k
Subros,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",12.6k
American Express,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,25.3k
Reliance Communications,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,9.6k
Carelon Global Solutions,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,28.2k
Aditya Birla Sun Life Insurance,4.0,"Work Life Balance, Company Culture, Job Security",,10.1k
Grasim Industries,4.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,12.7k
XpressBees,4.2,"Work Life Balance, Company Culture, Work Satisfaction",,8.3k
Altruist Technologies,4.4,"Company Culture, Work Life Balance, Work Satisfaction",,8.3k
Kyndryl,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,26.5k
Automatic Data Processing (ADP),3.9,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",22.1k
Viatris,4.1,"Salary & Benefits, Job Security, Work Life Balance",,14.2k
PNB MetLife,3.3,,"Job Security, Company Culture, Work Satisfaction",8.1k
PVR INOX,3.9,Job Security,Promotions / Appraisal,9.4k
Aditya Birla Capital,3.8,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,14.1k
Escorts Kubota Limited,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,13.4k
Maersk,4.0,"Company Culture, Work Life Balance",Promotions / Appraisal,19.1k
Synechron,3.4,,"Job Security, Promotions / Appraisal, Work Satisfaction",28.2k
KPIT Technologies,2.9,,"Promotions / Appraisal, Job Security, Company Culture",23.4k
Birlasoft,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",29.9k
JK Cement,4.0,Salary & Benefits,Promotions / Appraisal,10k
Glenmark Pharmaceuticals,3.8,,Promotions / Appraisal,12.2k
Dabur,3.8,Salary & Benefits,Promotions / Appraisal,8.8k
Sodexo,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,9.8k
Kotak Mahindra Life Insurance Company,3.5,,"Promotions / Appraisal, Work Satisfaction, Company Culture",12.5k
Cloudnine Hospital,4.4,"Skill Development / Learning, Company Culture, Work Life Balance",,3k
Bharat Electronics,4.2,"Work Life Balance, Company Culture, Work Satisfaction",,12.5k
Godrej & Boyce Manufacturing,3.9,Job Security,Promotions / Appraisal,15.1k
Cogent E Services,3.1,,"Company Culture, Work Satisfaction, Promotions / Appraisal",10.3k
Samvardhana Motherson Group,3.7,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",12.2k
Abbott,4.1,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,11.9k
Ipca Laboratories,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",11.5k
Aarti Industries,4.1,"Job Security, Work Life Balance, Company Culture",,14.4k
PhonePe,4.0,"Salary & Benefits, Company Culture, Work Life Balance",,13.1k
Reliance Projects & Property Management Services,4.0,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,7.3k
Indian Oil Corporation,4.3,"Company Culture, Work Life Balance, Work Satisfaction",,7.8k
Reliance Digital,4.2,"Skill Development / Learning, Job Security, Company Culture",,8k
MRF Tyres,3.6,,"Company Culture, Work Satisfaction, Work Life Balance",12.7k
Alkem Laboratories,3.9,Salary & Benefits,Promotions / Appraisal,9.9k
Johnson Controls,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction",17.6k
IGT Solutions,3.2,,"Promotions / Appraisal, Salary & Benefits, Company Culture",13.5k
UNO Minda,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,11.3k
"NTT DATA, Inc.",3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,21.3k
Honda Motorcycle & Scooter,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,11.1k
ArcelorMittal Nippon Steel,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,11.9k
Blinkit,3.8,Salary & Benefits,"Promotions / Appraisal, Job Security",13k
[24]7.ai,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.7k
Vishal Mega Mart,3.7,Salary & Benefits,,6.2k
Hindustan Coca Cola Beverages,4.0,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,7.8k
UBS,3.8,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",31.7k
DTDC Express,3.7,,"Promotions / Appraisal, Salary & Benefits",8.7k
IndusInd Nippon Life Insurance,3.4,,"Job Security, Company Culture, Work Satisfaction",3.8k
Bajaj General Insurance Limited,3.7,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",10.7k
Ford Motor,4.2,"Company Culture, Work Life Balance, Salary & Benefits",,15.3k
ABB,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,18k
Ceat Tyres,3.9,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",13k
Barclays,3.7,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",32.2k
HARMAN,3.8,Work Life Balance,Promotions / Appraisal,24.1k
RSPL Group,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,9.6k
AGS Health,4.0,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,14.5k
TVS Credit Services Ltd,4.2,"Salary & Benefits, Company Culture, Work Life Balance",,7.2k
NatWest Group,4.0,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",21.1k
Croma,3.8,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,9.2k
Niva Bupa Health Insurance Company,4.0,"Work Life Balance, Job Security, Skill Development / Learning",,8.4k
InterGlobe Aviation,3.5,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",13.6k
Alstom Transportation,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction",15.1k
Conduent,3.4,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",16.9k
Indian Air Force,4.6,"Job Security, Skill Development / Learning, Salary & Benefits",,5.4k
Tata Technologies,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",22.9k
Tata AIG,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,11.4k
GeBBS Healthcare Solutions,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",11.3k
Allcargo Logistics,3.8,,Promotions / Appraisal,7.1k
UPL,4.1,"Job Security, Company Culture, Work Life Balance",,11.2k
Marpu Foundation,4.9,"Company Culture, Work Life Balance, Work Satisfaction",,60
Max Healthcare,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,10.4k
PepsiCo,4.1,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,13.5k
Amazon Transportation Services,4.2,"Company Culture, Skill Development / Learning, Salary & Benefits",,8.4k
Titan Company,4.2,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,9.6k
Dilip Buildcon,3.9,Salary & Benefits,"Promotions / Appraisal, Job Security",8.2k
Walmart,3.5,,"Promotions / Appraisal, Work Satisfaction, Job Security",22.7k
Mankind Pharma,3.8,Salary & Benefits,,9.5k
Varroc Group,3.6,,"Promotions / Appraisal, Job Security, Company Culture",9.4k
Jindal Stainless,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,11.5k
S&P Global,4.0,"Company Culture, Work Life Balance",Promotions / Appraisal,20.5k
MSN Laboratories,3.6,Job Security,"Company Culture, Work Life Balance, Work Satisfaction",9.5k
Quest Global,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",21.4k
Societe Generale Global Solution Centre,3.6,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",23k
Future Group,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,6.7k
Sagility,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",11.9k
Afcons Infrastructure,4.2,"Job Security, Skill Development / Learning, Company Culture",,8.5k
Torrent Pharmaceuticals,4.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",10.3k
Square Yards,3.6,,"Work Life Balance, Work Satisfaction, Job Security",9.3k
IDFC FIRST Bharat,4.2,"Salary & Benefits, Company Culture, Work Life Balance",,4.9k
Ola Electric Mobility,3.3,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",9.4k
ESAF Small Finance Bank,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",7.4k
HDFC Sales,3.9,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",8.2k
CMS IT Services,3.1,,"Promotions / Appraisal, Salary & Benefits, Company Culture",9.4k
Zensar Technologies,3.7,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",25.6k
I Process Services,3.8,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",5.4k
ACC,3.9,,"Promotions / Appraisal, Job Security",9k
DS Group,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,7.6k
Suzlon Group,4.0,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",7.8k
Tata Elxsi,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",23k
Eternal Limited,3.6,,"Promotions / Appraisal, Job Security, Work Life Balance",14.6k
Bharat Financial Inclusion,3.7,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction",5.2k
Fujitsu,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,17.4k
VVDN Technologies,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",13.6k
Shoppers Stop,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,6.9k
Indus Towers,3.6,,"Promotions / Appraisal, Job Security, Work Life Balance",9.1k
Nokia,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,16.5k
Apollo Tyres,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,9.9k
