Price,AAPL_Close,AAPL_High,AAPL_Low,AAPL_Open,AAPL_Volume,MSFT_Close,MSFT_High,MSFT_Low,MSFT_Open,MSFT_Volume,GOOG_Close,GOOG_High,GOOG_Low,GOOG_Open,GOOG_Volume,NVDA_Close,NVDA_High,NVDA_Low,NVDA_Open,NVDA_Volume,AMZN_Close,AMZN_High,AMZN_Low,AMZN_Open,AMZN_Volume,META_Close,META_High,META_Low,META_Open,META_Volume,BTC_Close,BTC_High,BTC_Low,BTC_Open,BTC_Volume,ETH_Close,ETH_High,ETH_Low,ETH_Open,ETH_Volume,GLD_Close,GLD_High,GLD_Low,GLD_Open,GLD_Volume,SLV_Close,SLV_High,SLV_Low,SLV_Open,SLV_Volume
Ticker,AAPL_AAPL,AAPL_AAPL,AAPL_AAPL,AAPL_AAPL,AAPL_AAPL,MSFT_MSFT,MSFT_MSFT,MSFT_MSFT,MSFT_MSFT,MSFT_MSFT,GOOG_GOOG,GOOG_GOOG,GOOG_GOOG,GOOG_GOOG,GOOG_GOOG,NVDA_NVDA,NVDA_NVDA,NVDA_NVDA,NVDA_NVDA,NVDA_NVDA,AMZN_AMZN,AMZN_AMZN,AMZN_AMZN,AMZN_AMZN,AMZN_AMZN,META_META,META_META,META_META,META_META,META_META,BTC_BTC-USD,BTC_BTC-USD,BTC_BTC-USD,BTC_BTC-USD,BTC_BTC-USD,ETH_ETH,ETH_ETH,ETH_ETH,ETH_ETH,ETH_ETH,GLD_GLD,GLD_GLD,GLD_GLD,GLD_GLD,GLD_GLD,SLV_SLV,SLV_SLV,SLV_SLV,SLV_SLV,SLV_SLV
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.3340148925781,436.2460021972656,427.5150146484375,430.72100830078125,36278900,,,,,,,,,,,,,,,
2016-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.43798828125,436.06201171875,431.8699951171875,434.62200927734375,30096600,,,,,,,,,,,,,,,
2016-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.010986328125,433.7430114746094,424.70599365234375,433.5780029296875,39633800,,,,,,,,,,,,,,,
2016-01-04,23.730947494506836,23.735453620243067,22.976332980529655,23.113740599566555,270597600.0,47.87419509887695,47.87419509887695,46.64239566960355,47.45485947748423,53778000.0,36.81587600708008,36.92604975311906,36.29071625123408,36.87344669264344,65456000.0,0.7895877957344055,0.7947102150980515,0.7815382463592808,0.787636414497714,358076000.0,31.84950065612793,32.88600158691406,31.375499725341797,32.81449890136719,186290000.0,101.51091766357422,101.53077559317333,99.05805044043295,101.24278636692692,37912400.0,433.09100341796875,434.5169982910156,429.0840148925781,430.0610046386719,38477500,,,,,,102.88999938964844,103.66999816894531,102.48999786376953,103.12999725341797,6440000.0,13.1899995803833,13.520000457763672,13.1899995803833,13.470000267028809,4617100.0
2016-01-05,23.136260986328125,23.843571336083546,23.068684582391132,23.821045868104548,223164000.0,48.09259033203125,48.38962009184693,47.64704735859906,47.9877572793265,34079700.0,36.852603912353516,37.32009454898272,36.65706803737727,37.04466017791313,39014000.0,0.8022717237472534,0.8156876550038406,0.7927586120283875,0.8044670706415513,490272000.0,31.68950080871582,32.34550094604492,31.38249969482422,32.34299850463867,116452000.0,102.01739501953125,102.9905927999931,100.9647427811192,102.17628120601677,23258200.0,431.9599914550781,434.1820068359375,429.6759948730469,433.0690002441406,34522600,,,,,,103.18000030517578,103.45999908447266,102.93000030517578,103.12999725341797,3500300.0,13.3100004196167,13.369999885559082,13.25,13.3100004196167,3722800.0
2016-01-06,22.68349838256836,23.059680854996756,22.49653539645649,22.65196237437679,273829600.0,47.21897506713867,47.524742866998764,46.86079240579261,47.4548519415738,39518900.0,36.90420913696289,37.080885425281096,36.17468017275222,36.228279022725054,38940000.0,0.769098162651062,0.792758939543236,0.760072863297997,0.7891000265411219,449344000.0,31.63249969482422,31.989500045776367,31.015499114990234,31.100000381469727,106584000.0,102.2557144165039,103.05016039566198,100.20007398602057,100.42847426914615,25096200.0,429.1050109863281,431.8559875488281,426.34100341796875,431.8559875488281,34042500,,,,,,104.66999816894531,104.80000305175781,103.93000030517578,104.37000274658203,9316600.0,13.359999656677246,13.479999542236328,13.260000228881836,13.369999885559082,3414700.0
2016-01-07,21.72614860534668,22.555098693762698,21.72164419837296,22.2284750527924,324377600.0,45.57657241821289,46.72974929487632,45.48921209892111,46.03959144169052,56564900.0,36.04911804199219,36.6501096467666,35.68534561733928,36.24365806425234,59274000.0,0.7386072874069214,0.7549502932031003,0.7288502073926791,0.7498278160182466,645304000.0,30.39699935913086,31.5,30.260499954223633,31.09000015258789,141498000.0,97.2407455444336,100.72639945550415,96.62505121685403,99.80285038766395,45172900.0,458.0480041503906,458.7659912109375,429.0769958496094,430.010986328125,87562200,,,,,,106.1500015258789,106.23999786376953,105.19000244140625,105.83000183105469,11730400.0,13.619999885559082,13.710000038146973,13.399999618530273,13.470000267028809,9669500.0
2016-01-08,21.841033935546875,22.325339388636742,21.795982984899094,22.199195351956075,283192000.0,45.71636199951172,46.54629517101216,45.55911073210291,45.751304133593464,48754000.0,35.45756149291992,36.38857843121358,35.38461086296558,36.300240280621125,49018000.0,0.7227522134780884,0.7488522453090868,0.7212886483339032,0.7481204627369942,398472000.0,30.352500915527344,31.207000732421875,30.299999237060547,30.982999801635742,110258000.0,96.65483856201172,99.8028469406936,96.35691658533186,99.18714505790815,35402300.0,453.2300109863281,462.9339904785156,447.93798828125,457.5379943847656,56993000,,,,,,105.68000030517578,105.80000305175781,105.04000091552734,105.4800033569336,7678200.0,13.300000190734863,13.430000305175781,13.229999542236328,13.40999984741211,5897700.0
